"Age_Ma","pCO2_probability_maximum","lw95_percent","lw68_percent","up68_percent","up95_percent","yearsAgo","yearsElapsed"
110,1110.78,697.67,891.68,1398.87,1629.87,1.1e+08,4.49e+09
110.5,1112.36,698.69,890.46,1400.58,1651.27,110500000,4489500000
111,1148.07,709.5,884.26,1401.38,1657.74,1.11e+08,4.489e+09
111.5,1171.66,697.88,885.98,1405.13,1669.78,111500000,4488500000
112,1084.42,705.3,893.92,1404.32,1671.19,1.12e+08,4.488e+09
112.5,1095.61,715.31,900.18,1402.65,1693.67,112500000,4487500000
113,1194.91,710.36,909.31,1403.23,1669.1,1.13e+08,4.487e+09
113.5,1207.55,725.86,930.54,1418.97,1642.38,113500000,4486500000
114,1123.15,722.17,935.93,1435.49,1663.06,1.14e+08,4.486e+09
114.5,1112.02,724,937.77,1448.99,1679.86,114500000,4485500000
115,1107.09,715.82,936.31,1450.86,1688.2,1.15e+08,4.485e+09
115.5,1102.52,712.15,936.63,1436.07,1678.97,115500000,4484500000
116,1103.25,716.13,936.38,1426.76,1669.3,1.16e+08,4.484e+09
116.5,1093.39,743.1,940.09,1412.08,1632.4,116500000,4483500000
117,1077.79,754.6,940.92,1395.19,1623.4,1.17e+08,4.483e+09
117.5,1155.01,758.89,941.33,1380.28,1611.81,117500000,4482500000
118,1132.44,751.75,934.44,1365.76,1583.56,1.18e+08,4.482e+09
118.5,1109.51,751.66,927.02,1349.91,1572.79,118500000,4481500000
119,1085.07,747.02,919.33,1327.82,1530.5,1.19e+08,4.481e+09
119.5,1065.49,759.66,909.91,1291.28,1473.73,119500000,4480500000
120,1035.66,762.36,903.05,1252.21,1425.7,1.2e+08,4.48e+09
120.5,1016.73,756.22,890.6,1222.14,1371.2,120500000,4479500000
121,1004.47,742.5,869.84,1198.49,1354.28,1.21e+08,4.479e+09
121.5,990.7,725.31,854.82,1186.75,1338.19,121500000,4478500000
122,983.18,705.71,832.46,1172.31,1324.39,1.22e+08,4.478e+09
122.5,968.78,695.68,818.28,1150.81,1311.48,122500000,4477500000
123,987.36,673.46,797.26,1137.47,1297.03,1.23e+08,4.477e+09
123.5,931.03,650.68,773.94,1130.03,1298.42,123500000,4476500000
124,878.83,609.74,736.59,1124.3,1310.94,1.24e+08,4.476e+09
124.5,861.74,568.28,709.29,1121.28,1335.44,124500000,4475500000
125,856.72,538.96,695.92,1115.2,1324.17,1.25e+08,4.475e+09
125.5,867.26,526.41,683.6,1106.63,1325.9,125500000,4474500000
126,899.52,512.68,679.8,1096.83,1324.28,1.26e+08,4.474e+09
126.5,935.43,487.92,677.57,1094.93,1347.6,126500000,4473500000
127,925.84,489.83,670.17,1107.08,1353.44,1.27e+08,4.473e+09
127.5,856.06,467.7,660.88,1115.15,1368.53,127500000,4472500000
128,848.35,480.12,656.77,1124.32,1380.09,1.28e+08,4.472e+09
128.5,836.78,485.99,661.02,1133.22,1373.77,128500000,4471500000
129,846.83,491.07,670.62,1137.68,1372.52,1.29e+08,4.471e+09
129.5,913.11,519.51,687.44,1148.31,1371.83,129500000,4470500000
130,935.09,521.18,697.98,1158.43,1380.66,1.3e+08,4.47e+09
130.5,950.58,516.37,705.63,1177.76,1396.33,130500000,4469500000
131,906.95,495.44,707.6,1188.38,1425.3,1.31e+08,4.469e+09
131.5,879.94,493.94,712.98,1204.35,1443.45,131500000,4468500000
132,886.48,501.6,724.11,1219.24,1475.08,1.32e+08,4.468e+09
132.5,892.13,505.1,733.1,1237.06,1503.03,132500000,4467500000
133,909.1,505.15,736.65,1263.63,1561.87,1.33e+08,4.467e+09
133.5,925.75,511.66,733.84,1271.96,1600.78,133500000,4466500000
134,949.64,520.88,723.61,1295.63,1647.52,1.34e+08,4.466e+09
134.5,972.22,511.27,709.42,1318.45,1693.79,134500000,4465500000
135,983.04,510.15,715.27,1318.52,1714.28,1.35e+08,4.465e+09
135.5,993.36,528.45,720.02,1308.18,1726.94,135500000,4464500000
136,1003.59,524.26,735.37,1293.88,1756.3,1.36e+08,4.464e+09
136.5,1024.47,531.46,732.55,1296.57,1733.08,136500000,4463500000
137,1011.73,527.23,746.08,1277.64,1722.23,1.37e+08,4.463e+09
137.5,1014.2,522.94,745.04,1269.18,1710.12,137500000,4462500000
138,1007.19,522.36,743.7,1260.91,1673.67,1.38e+08,4.462e+09
138.5,991.33,535.15,742.07,1231.24,1613.97,138500000,4461500000
139,947.7,549.58,741.71,1189.7,1519.2,1.39e+08,4.461e+09
139.5,919.17,565.38,736.99,1151.4,1402.67,139500000,4460500000
140,906.23,560.73,723.56,1110.68,1313.56,1.4e+08,4.46e+09
140.5,890.4,562.92,704.89,1079.46,1249.5,140500000,4459500000
141,848.21,539.63,689.87,1044.98,1214.76,1.41e+08,4.459e+09
141.5,841.34,529.02,679.71,1026.05,1193.05,141500000,4458500000
142,831.85,522.4,660.91,997.52,1161.22,1.42e+08,4.458e+09
142.5,831.68,508.55,632.93,976.98,1147.62,142500000,4457500000
143,738.7,491.11,611.23,965.76,1133.15,1.43e+08,4.457e+09
143.5,725.03,469.98,584.86,954.14,1131.08,143500000,4456500000
144,664.43,439.58,557.2,948.96,1120.83,1.44e+08,4.456e+09
144.5,651.1,422.71,538.81,939.87,1107.48,144500000,4455500000
145,713.01,414.46,530.95,933.75,1110.6,1.45e+08,4.455e+09
145.5,742.41,397.08,520.79,926.54,1119.83,145500000,4454500000
146,766.99,381.21,512.66,932.96,1136.45,1.46e+08,4.454e+09
146.5,754.86,361.19,508.73,946.89,1182.33,146500000,4453500000
147,746,340.77,499.84,954.48,1214.79,1.47e+08,4.453e+09
147.5,737.93,328.65,502.4,960.82,1233.47,147500000,4452500000
148,725.33,325.22,508.49,973.43,1245.62,1.48e+08,4.452e+09
148.5,717.12,346.18,517.76,993.5,1265.68,148500000,4451500000
149,738.03,376,540.46,1009.46,1272.91,1.49e+08,4.451e+09
149.5,717.24,398.71,560.99,1026.95,1306.3,149500000,4450500000
150,703.38,386.68,563.9,1057.26,1380.45,1.5e+08,4.45e+09
150.5,824.47,391.32,574.39,1085.88,1414.02,150500000,4449500000
151,834.46,382.23,579.57,1092.92,1432.28,1.51e+08,4.449e+09
151.5,799.6,386.41,583.77,1117.17,1442.11,151500000,4448500000
152,812.24,393.19,575.78,1152.23,1458.75,1.52e+08,4.448e+09
152.5,809.92,358.72,565.85,1195.92,1506.7,152500000,4447500000
153,815.46,327.25,568.31,1229.64,1553.08,1.53e+08,4.447e+09
153.5,827.93,297.85,559.63,1268.55,1618.23,153500000,4446500000
154,813.72,294.23,558.68,1295.37,1622.33,1.54e+08,4.446e+09
154.5,807.17,277.83,551.52,1308.73,1657.82,154500000,4445500000
155,794.32,250.69,544.96,1310,1673.13,1.55e+08,4.445e+09
155.5,756.06,192.32,519.77,1296.03,1706.9,155500000,4444500000
156,722.07,156.01,498.12,1284.12,1720.85,1.56e+08,4.444e+09
156.5,897.28,141.7,485.82,1275.95,1738.05,156500000,4443500000
157,858.14,149.05,478.83,1260.69,1751.24,1.57e+08,4.443e+09
157.5,835.77,157.08,479.45,1245.99,1745.76,157500000,4442500000
158,822.84,165.15,480.52,1234.76,1722.43,1.58e+08,4.442e+09
158.5,814.67,201.16,486.79,1202.27,1674.66,158500000,4441500000
159,797.35,223.29,494.44,1169.64,1615.62,1.59e+08,4.441e+09
159.5,796.5,230.65,506.74,1132.27,1577.01,159500000,4440500000
160,795.33,257.92,519.98,1113.88,1536.16,1.6e+08,4.44e+09
160.5,782.89,280.14,519.73,1110.67,1526.31,160500000,4439500000
161,785.35,327.06,537.82,1103.64,1484.46,1.61e+08,4.439e+09
161.5,793.06,355.2,554.28,1105.92,1451.69,161500000,4438500000
162,775.16,407.97,579.3,1111.05,1421.61,1.62e+08,4.438e+09
162.5,785.09,445.94,620.04,1121.36,1379.77,162500000,4437500000
163,771.41,484.03,653.74,1128.87,1347.41,1.63e+08,4.437e+09
163.5,881.36,519.58,675.86,1135.23,1361.4,163500000,4436500000
164,855.45,529.68,690.36,1142.74,1384.46,1.64e+08,4.436e+09
164.5,861.99,555.04,715.38,1156.32,1392.36,164500000,4435500000
165,871.25,579.04,740.99,1156.63,1389.35,1.65e+08,4.435e+09
165.5,877.2,614.58,773.17,1161.22,1388.32,165500000,4434500000
166,895.9,658.85,803.71,1166.72,1375.63,1.66e+08,4.434e+09
166.5,929.99,692.5,821.57,1175.09,1355.02,166500000,4433500000
167,974.75,709.88,844.15,1186.9,1341.55,1.67e+08,4.433e+09
167.5,1004.32,717.87,856.27,1192.46,1344.47,167500000,4432500000
168,1011.74,735.25,874.77,1194.43,1337.68,1.68e+08,4.432e+09
168.5,1029.62,748.08,887.37,1194.37,1323.74,168500000,4431500000
169,1045.27,759.74,902.17,1190.17,1329.48,1.69e+08,4.431e+09
169.5,1041.41,761.08,903.91,1189.21,1323.07,169500000,4430500000
170,1037.52,736.21,902.76,1198.95,1350.18,1.7e+08,4.43e+09
170.5,1029.03,739.56,895.22,1219.84,1384.06,170500000,4429500000
171,1071.4,734.43,895.51,1231.69,1413.76,1.71e+08,4.429e+09
171.5,1064.67,720.61,887.68,1244.03,1451.62,171500000,4428500000
172,1048.07,696.83,873.61,1260.53,1508.77,1.72e+08,4.428e+09
172.5,1043.98,650.99,854.28,1289.16,1569.38,172500000,4427500000
173,1040.97,615.01,828.13,1312.55,1637.33,1.73e+08,4.427e+09
173.5,1027.7,582.27,808.45,1329.39,1718.12,173500000,4426500000
174,1022.63,569.6,792.87,1345.36,1783.87,1.74e+08,4.426e+09
174.5,1018.11,550.83,787.99,1356.31,1826.13,174500000,4425500000
175,1015.82,545.45,772.69,1360.79,1848.39,1.75e+08,4.425e+09
175.5,1012.49,530.82,764.25,1364.9,1844.1,175500000,4424500000
176,1020.94,518.84,754.68,1366.69,1833.68,1.76e+08,4.424e+09
176.5,1015.73,506.27,747.76,1382.8,1856.58,176500000,4423500000
177,1008.42,498.32,736.92,1374.7,1892.12,1.77e+08,4.423e+09
177.5,999.39,501.16,727.16,1357.36,1865.44,177500000,4422500000
178,998.07,512.85,728.63,1341.62,1849.54,1.78e+08,4.422e+09
178.5,983.26,530.1,738.4,1315.96,1802.39,178500000,4421500000
179,971.06,542.21,747.3,1299.84,1749.05,1.79e+08,4.421e+09
179.5,941.81,529.93,742.09,1285.47,1713.55,179500000,4420500000
180,909.5,542.59,739.29,1265.09,1748,1.8e+08,4.42e+09
180.5,908.94,538.52,736.38,1256.04,1699.73,180500000,4419500000
181,912.62,547.16,735.26,1241.65,1639.33,1.81e+08,4.419e+09
181.5,926.38,553.23,739.98,1229.5,1591.2,181500000,4418500000
182,920.92,548.02,741.05,1210.24,1534.79,1.82e+08,4.418e+09
182.5,921.06,558.48,735.01,1185.36,1479.22,182500000,4417500000
183,895.84,550.33,722.98,1186.92,1448.96,1.83e+08,4.417e+09
183.5,896.31,548.66,721.68,1185.25,1478.03,183500000,4416500000
184,923.15,568.28,728.53,1190.58,1470.77,1.84e+08,4.416e+09
184.5,859.47,593.27,737.67,1184.5,1499.77,184500000,4415500000
185,956.9,607.54,749.64,1204.91,1540.25,1.85e+08,4.415e+09
185.5,965.18,578.77,754.39,1242.25,1579.13,185500000,4414500000
186,945.03,567.27,751.88,1289.32,1664.52,1.86e+08,4.414e+09
186.5,950.25,542.96,743.58,1347.14,1793.6,186500000,4413500000
187,947.85,530.43,754.77,1393.99,1884.93,1.87e+08,4.413e+09
187.5,952.48,534.89,771.21,1431.42,1987.17,187500000,4412500000
