"yearsBP","annual65N","annualGlobal","globalCosWeighted","Title","Source","yearsElapsed"
775300,211.87,290.86,340.837,"","",4599224700
775200,211.97,290.85,340.835,"","",4599224800
775100,212.07,290.83,340.833,"","",4599224900
775000,212.17,290.81,340.832,"","",4599225000
774900,212.26,290.79,340.83,"","",4599225100
774800,212.39,290.77,340.828,"","",4599225200
774700,212.51,290.76,340.827,"","",4599225300
774600,212.63,290.74,340.825,"","",4599225400
774500,212.76,290.73,340.824,"","",4599225500
774400,212.88,290.71,340.822,"","",4599225600
774300,213,290.69,340.821,"","",4599225700
774200,213.13,290.68,340.82,"","",4599225800
774100,213.25,290.66,340.818,"","",4599225900
774000,213.37,290.65,340.817,"","",4599226000
773900,213.5,290.63,340.815,"","",4599226100
773800,213.63,290.61,340.813,"","",4599226200
773700,213.77,290.6,340.81,"","",4599226300
773600,213.9,290.58,340.808,"","",4599226400
773500,214.04,290.57,340.805,"","",4599226500
773400,214.17,290.55,340.803,"","",4599226600
773300,214.31,290.53,340.8,"","",4599226700
773200,214.44,290.52,340.798,"","",4599226800
773100,214.58,290.5,340.796,"","",4599226900
773000,214.71,290.49,340.793,"","",4599227000
772900,214.85,290.47,340.791,"","",4599227100
772800,214.97,290.45,340.788,"","",4599227200
772700,215.09,290.44,340.785,"","",4599227300
772600,215.22,290.42,340.783,"","",4599227400
772500,215.34,290.41,340.78,"","",4599227500
772400,215.46,290.39,340.777,"","",4599227600
772300,215.59,290.38,340.774,"","",4599227700
772200,215.71,290.36,340.772,"","",4599227800
772100,215.83,290.35,340.769,"","",4599227900
772000,215.96,290.33,340.766,"","",4599228000
771900,216.08,290.31,340.764,"","",4599228100
771800,216.17,290.3,340.763,"","",4599228200
771700,216.27,290.29,340.763,"","",4599228300
771600,216.36,290.28,340.762,"","",4599228400
771500,216.46,290.27,340.762,"","",4599228500
771400,216.55,290.26,340.761,"","",4599228600
771300,216.65,290.24,340.761,"","",4599228700
771200,216.74,290.23,340.761,"","",4599228800
771100,216.84,290.22,340.76,"","",4599228900
771000,216.93,290.21,340.76,"","",4599229000
770900,217.03,290.2,340.759,"","",4599229100
770800,217.1,290.19,340.755,"","",4599229200
770700,217.16,290.17,340.751,"","",4599229300
770600,217.23,290.16,340.747,"","",4599229400
770500,217.3,290.15,340.743,"","",4599229500
770400,217.37,290.14,340.739,"","",4599229600
770300,217.44,290.12,340.735,"","",4599229700
770200,217.51,290.11,340.731,"","",4599229800
770100,217.58,290.1,340.727,"","",4599229900
770000,217.64,290.09,340.723,"","",4599230000
769900,217.71,290.07,340.719,"","",4599230100
769800,217.74,290.06,340.716,"","",4599230200
769700,217.76,290.05,340.712,"","",4599230300
769600,217.79,290.04,340.709,"","",4599230400
769500,217.81,290.03,340.705,"","",4599230500
769400,217.83,290.02,340.701,"","",4599230600
769300,217.86,290.01,340.698,"","",4599230700
769200,217.88,290,340.694,"","",4599230800
769100,217.91,289.99,340.691,"","",4599230900
769000,217.93,289.98,340.687,"","",4599231000
768900,217.96,289.96,340.684,"","",4599231100
768800,217.94,289.96,340.681,"","",4599231200
768700,217.92,289.95,340.679,"","",4599231300
768600,217.9,289.94,340.677,"","",4599231400
768500,217.88,289.94,340.675,"","",4599231500
768400,217.86,289.93,340.673,"","",4599231600
768300,217.85,289.92,340.67,"","",4599231700
768200,217.83,289.91,340.668,"","",4599231800
768100,217.81,289.91,340.666,"","",4599231900
768000,217.79,289.9,340.664,"","",4599232000
767900,217.77,289.89,340.662,"","",4599232100
767800,217.72,289.89,340.661,"","",4599232200
767700,217.67,289.88,340.66,"","",4599232300
767600,217.62,289.88,340.659,"","",4599232400
767500,217.57,289.88,340.658,"","",4599232500
767400,217.52,289.87,340.657,"","",4599232600
767300,217.47,289.87,340.656,"","",4599232700
767200,217.42,289.86,340.656,"","",4599232800
767100,217.37,289.86,340.655,"","",4599232900
767000,217.32,289.85,340.654,"","",4599233000
766900,217.27,289.85,340.653,"","",4599233100
766800,217.19,289.85,340.652,"","",4599233200
766700,217.1,289.84,340.651,"","",4599233300
766600,217.02,289.84,340.65,"","",4599233400
766500,216.94,289.84,340.649,"","",4599233500
766400,216.86,289.84,340.648,"","",4599233600
766300,216.77,289.84,340.647,"","",4599233700
766200,216.69,289.83,340.646,"","",4599233800
766100,216.61,289.83,340.645,"","",4599233900
766000,216.52,289.83,340.645,"","",4599234000
765900,216.44,289.83,340.644,"","",4599234100
765800,216.34,289.83,340.641,"","",4599234200
765700,216.25,289.83,340.638,"","",4599234300
765600,216.15,289.83,340.636,"","",4599234400
765500,216.05,289.82,340.633,"","",4599234500
765400,215.96,289.82,340.63,"","",4599234600
765300,215.86,289.82,340.628,"","",4599234700
765200,215.76,289.82,340.625,"","",4599234800
765100,215.67,289.82,340.622,"","",4599234900
765000,215.57,289.82,340.62,"","",4599235000
764900,215.47,289.82,340.617,"","",4599235100
764800,215.36,289.82,340.615,"","",4599235200
764700,215.25,289.82,340.613,"","",4599235300
764600,215.13,289.82,340.61,"","",4599235400
764500,215.02,289.83,340.608,"","",4599235500
764400,214.91,289.83,340.606,"","",4599235600
764300,214.8,289.83,340.604,"","",4599235700
764200,214.68,289.83,340.602,"","",4599235800
764100,214.57,289.83,340.599,"","",4599235900
764000,214.46,289.83,340.597,"","",4599236000
763900,214.34,289.83,340.595,"","",4599236100
763800,214.25,289.84,340.592,"","",4599236200
763700,214.15,289.84,340.589,"","",4599236300
763600,214.06,289.84,340.586,"","",4599236400
763500,213.96,289.85,340.583,"","",4599236500
763400,213.87,289.85,340.58,"","",4599236600
763300,213.77,289.85,340.577,"","",4599236700
763200,213.68,289.86,340.574,"","",4599236800
763100,213.58,289.86,340.571,"","",4599236900
763000,213.49,289.86,340.568,"","",4599237000
762900,213.39,289.86,340.565,"","",4599237100
762800,213.32,289.87,340.564,"","",4599237200
762700,213.24,289.88,340.563,"","",4599237300
762600,213.16,289.89,340.561,"","",4599237400
762500,213.09,289.89,340.56,"","",4599237500
762400,213.01,289.9,340.559,"","",4599237600
762300,212.93,289.91,340.558,"","",4599237700
762200,212.86,289.92,340.556,"","",4599237800
762100,212.78,289.92,340.555,"","",4599237900
762000,212.7,289.93,340.554,"","",4599238000
761900,212.63,289.94,340.553,"","",4599238100
761800,212.58,289.95,340.55,"","",4599238200
761700,212.54,289.95,340.548,"","",4599238300
761600,212.49,289.96,340.545,"","",4599238400
761500,212.44,289.97,340.543,"","",4599238500
761400,212.4,289.98,340.54,"","",4599238600
761300,212.35,289.99,340.538,"","",4599238700
761200,212.3,289.99,340.535,"","",4599238800
761100,212.26,290,340.533,"","",4599238900
761000,212.21,290.01,340.53,"","",4599239000
760900,212.16,290.02,340.528,"","",4599239100
760800,212.15,290.03,340.526,"","",4599239200
760700,212.13,290.04,340.525,"","",4599239300
760600,212.12,290.05,340.524,"","",4599239400
760500,212.1,290.06,340.522,"","",4599239500
760400,212.08,290.07,340.521,"","",4599239600
760300,212.07,290.08,340.519,"","",4599239700
760200,212.05,290.09,340.518,"","",4599239800
760100,212.03,290.1,340.516,"","",4599239900
760000,212.02,290.11,340.515,"","",4599240000
759900,212,290.12,340.514,"","",4599240100
759800,212.03,290.13,340.51,"","",4599240200
759700,212.05,290.14,340.507,"","",4599240300
759600,212.08,290.16,340.504,"","",4599240400
759500,212.1,290.17,340.5,"","",4599240500
759400,212.12,290.18,340.497,"","",4599240600
759300,212.15,290.19,340.494,"","",4599240700
759200,212.17,290.2,340.49,"","",4599240800
759100,212.2,290.21,340.487,"","",4599240900
759000,212.22,290.22,340.484,"","",4599241000
758900,212.24,290.24,340.481,"","",4599241100
758800,212.3,290.25,340.48,"","",4599241200
758700,212.35,290.26,340.48,"","",4599241300
758600,212.4,290.28,340.479,"","",4599241400
758500,212.45,290.29,340.479,"","",4599241500
758400,212.51,290.31,340.479,"","",4599241600
758300,212.56,290.32,340.478,"","",4599241700
758200,212.61,290.33,340.478,"","",4599241800
758100,212.66,290.35,340.478,"","",4599241900
758000,212.72,290.36,340.477,"","",4599242000
757900,212.77,290.38,340.477,"","",4599242100
757800,212.86,290.39,340.477,"","",4599242200
757700,212.95,290.41,340.477,"","",4599242300
757600,213.05,290.43,340.477,"","",4599242400
757500,213.14,290.44,340.477,"","",4599242500
757400,213.23,290.46,340.477,"","",4599242600
757300,213.33,290.48,340.477,"","",4599242700
757200,213.42,290.5,340.477,"","",4599242800
757100,213.51,290.51,340.477,"","",4599242900
757000,213.6,290.53,340.477,"","",4599243000
756900,213.7,290.55,340.477,"","",4599243100
756800,213.8,290.56,340.474,"","",4599243200
756700,213.9,290.58,340.471,"","",4599243300
756600,214.01,290.59,340.468,"","",4599243400
756500,214.11,290.6,340.465,"","",4599243500
756400,214.21,290.62,340.462,"","",4599243600
756300,214.31,290.63,340.459,"","",4599243700
756200,214.42,290.65,340.456,"","",4599243800
756100,214.52,290.66,340.453,"","",4599243900
756000,214.62,290.68,340.45,"","",4599244000
755900,214.73,290.69,340.447,"","",4599244100
755800,214.83,290.71,340.445,"","",4599244200
755700,214.94,290.73,340.444,"","",4599244300
755600,215.04,290.74,340.443,"","",4599244400
755500,215.15,290.76,340.441,"","",4599244500
755400,215.25,290.78,340.44,"","",4599244600
755300,215.36,290.79,340.438,"","",4599244700
755200,215.46,290.81,340.437,"","",4599244800
755100,215.57,290.83,340.435,"","",4599244900
755000,215.67,290.85,340.434,"","",4599245000
754900,215.78,290.86,340.432,"","",4599245100
754800,215.87,290.88,340.434,"","",4599245200
754700,215.97,290.9,340.435,"","",4599245300
754600,216.07,290.92,340.436,"","",4599245400
754500,216.16,290.94,340.438,"","",4599245500
754400,216.26,290.96,340.439,"","",4599245600
754300,216.36,290.98,340.44,"","",4599245700
754200,216.45,291,340.441,"","",4599245800
754100,216.55,291.02,340.443,"","",4599245900
