"years_before_present","CO2_ppm","yearsElapsed"
199040,250.9,4599800960
196247,242.6,4599803753
195741,241.2,4599804259
195085,226.4,4599804915
193549,220,4599806451
192978,226.5,4599807022
190420,218,4599809580
189144,220.3,4599810856
188504,231.4,4599811496
186765,231.3,4599813235
184753,210.7,4599815247
182114,203.4,4599817886
180136,199.7,4599819864
179185,198.1,4599820815
178247,217.7,4599821753
177207,213.2,4599822793
175374,207.7,4599824626
173462,190.1,4599826538
173203,189.4,4599826797
172502,190.3,4599827498
171419,196,4599828581
169560,197.7,4599830440
167251,197.8,4599832749
164507,196.6,4599835493
163766,183.8,4599836234
163092,186.7,4599836908
162296,190.1,4599837704
161747,191.6,4599838253
160011,196.5,4599839989
159630,204.3,4599840370
155881,187.5,4599844119
155463,185.5,4599844537
154548,189,4599845452
151491,200.6,4599848509
149989,188.9,4599850011
149871,191.9,4599850129
148899,203,4599851101
145431,196.9,4599854569
142126,190.4,4599857874
141028,196.4,4599858972
140967,195.6,4599859033
139685,196.5,4599860315
139343,192.3,4599860657
138253,190.2,4599861747
138050,194.2,4599861950
137701,193.4,4599862299
137361,194.3,4599862639
136723,201.1,4599863277
136635,195.8,4599863365
136319,202.4,4599863681
136079,200.7,4599863921
135951,201.7,4599864049
135671,198,4599864329
135275,198,4599864725
135182,200.4,4599864818
135028,204.5,4599864972
134355,203.7,4599865645
134191,208.9,4599865809
133495,210.6,4599866505
133173,220.3,4599866827
133137,223.9,4599866863
132560,223.5,4599867440
131796,228.9,4599868204
131523,240.4,4599868477
131397,245,4599868603
129804,259,4599870196
129720,257.9,4599870280
129408,263.4,4599870592
129214,264.1,4599870786
128934,282.6,4599871066
128677,286.8,4599871323
128440,287.1,4599871560
128412,274,4599871588
127975,275.6,4599872025
127690,275.3,4599872310
127200,262.6,4599872800
126954,262.5,4599873046
126666,267.1,4599873334
126415,273.7,4599873585
125502,277.1,4599874498
125330,273,4599874670
125149,279.7,4599874851
124857,266.3,4599875143
124325,266.6,4599875675
124281,268.7,4599875719
123138,276.4,4599876862
122412,272.1,4599877588
121085,277.6,4599878915
120450,265.2,4599879550
119740,271.9,4599880260
118717,273.7,4599881283
117818,267.6,4599882182
116569,262.5,4599883431
115186,273.2,4599884814
114669,274.5,4599885331
114164,261.4,4599885836
113330,266.3,4599886670
111930,256.7,4599888070
109872,251.2,4599890128
108221,245.6,4599891779
107647,238.2,4599892353
105704,230.6,4599894296
104772,236.9,4599895228
103533,228.1,4599896467
101817,236.9,4599898183
100905,230.8,4599899095
99917,225.8,4599900083
94421,232,4599905579
91317,228.3,4599908683
90425,224.2,4599909575
87985,208,4599912015
86249,217,4599913751
85088,214.2,4599914912
84084,228,4599915916
83401,236.4,4599916599
82485,241.1,4599917515
80682,230.9,4599919318
78251,221.7,4599921749
77218,217.1,4599922782
73295,229.1,4599926705
71117,227.3,4599928883
66007,194.9,4599933993
65007,191.4,4599934993
62927,195.3,4599937073
57725,210.4,4599942275
57156,221.7,4599942844
52450,190.4,4599947550
50731,215.7,4599949269
49758,210.1,4599950242
48922,188.4,4599951078
47404,189.3,4599952596
43568,209.1,4599956432
37539,209.1,4599962461
35077,205.3,4599964923
30088,191.7,4599969912
29131,188.5,4599970869
26062,191.6,4599973938
22895,189.2,4599977105
22083,184.4,4599977917
21922,185.7,4599978078
21575,186.1,4599978425
21325,184.7,4599978675
21079,186.5,4599978921
20816,186.9,4599979184
20570,187.8,4599979430
20265,195,4599979735
20236,188.2,4599979764
20056,188,4599979944
19816,190,4599980184
19577,188.8,4599980423
19415,188.7,4599980585
18989,188.3,4599981011
18936,192.3,4599981064
18896,189.4,4599981104
18609,188.6,4599981391
18353,187,4599981647
18011,189.2,4599981989
17877,188.5,4599982123
17633,188.5,4599982367
17443,191,4599982557
17179,193.9,4599982821
16938,195.2,4599983062
16727,200.8,4599983273
16520,202.9,4599983480
16328,207.7,4599983672
16141,207.5,4599983859
15954,214,4599984046
15810,219.4,4599984190
15638,220.9,4599984362
15506,221,4599984494
15301,222,4599984699
15080,224.5,4599984920
14958,225.2,4599985042
14793,226.1,4599985207
14618,228.4,4599985382
14371,228.5,4599985629
14016,239.1,4599985984
13872,238.6,4599986128
13721,238.6,4599986279
13610,239.2,4599986390
13508,236.4,4599986492
13309,237.6,4599986691
13158,237.9,4599986842
13010,237.3,4599986990
12828,238.3,4599987172
12710,234.2,4599987290
12564,237.6,4599987436
12439,237.5,4599987561
12190,240.3,4599987810
12118,243.2,4599987882
12026,246.6,4599987974
11964,245.3,4599988036
11887,245.3,4599988113
11795,250.7,4599988205
11744,251.1,4599988256
11703,249.7,4599988297
11648,250.7,4599988352
11537,253.8,4599988463
11504,253.9,4599988496
11460,255.4,4599988540
11406,260.8,4599988594
11346,258.8,4599988654
11304,265.2,4599988696
11269,263,4599988731
11204,264,4599988796
11155,264.5,4599988845
11082,264.2,4599988918
11001,264.1,4599988999
10963,264.4,4599989037
10895,265.3,4599989105
10873,265,4599989127
10812,264.8,4599989188
10689,264.8,4599989311
10595,267.6,4599989405
10485,265.1,4599989515
10362,266,4599989638
10277,266.9,4599989723
10156,267.5,4599989844
10051,264.9,4599989949
9977,265.7,4599990023
9875,263.4,4599990125
9789,264,4599990211
9665,264.2,4599990335
9604,264.4,4599990396
9385,263.8,4599990615
9300,263,4599990700
9208,260.9,4599990792
9160,260.6,4599990840
9041,265.2,4599990959
8937,263.8,4599991063
8852,263.7,4599991148
8721,262,4599991279
8647,259.3,4599991353
8545,260.4,4599991455
8455,260.9,4599991545
8349,259,4599991651
8249,261.8,4599991751
8118,260.7,4599991882
8058,261.3,4599991942
7944,258.3,4599992056
7849,259.3,4599992151
7759,259.6,4599992241
7658,260.8,4599992342
7575,259.2,4599992425
7481,259.7,4599992519
7388,260.4,4599992612
7302,260.1,4599992698
7180,258.4,4599992820
7096,260.7,4599992904
7009,263,4599992991
6906,262.3,4599993094
6781,257.6,4599993219
6685,258.1,4599993315
6613,262.9,4599993387
6502,262.1,4599993498
6422,259.4,4599993578
6331,261.1,4599993669
6199,261.2,4599993801
6107,262.7,4599993893
6066,263.2,4599993934
5923,265.5,4599994077
5784,266.7,4599994216
5725,260.7,4599994275
5630,265.5,4599994370
5544,265.9,4599994456
5438,267.6,4599994562
5342,265.2,4599994658
5228,265.3,4599994772
5162,267.6,4599994838
5072,269.8,4599994928
4942,268.6,4599995058
4834,269.3,4599995166
4771,270.7,4599995229
4641,271.5,4599995359
4548,269.8,4599995452
4442,269.1,4599995558
4392,271.1,4599995608
4229,271.5,4599995771
4164,272.8,4599995836
4072,271.6,4599995928
3978,271.7,4599996022
3858,274.9,4599996142
3789,275.4,4599996211
3690,271.5,4599996310
3591,273,4599996409
3521,273.4,4599996479
3404,275,4599996596
3283,274,4599996717
3184,273.1,4599996816
3121,276.3,4599996879
2970,274.6,4599997030
2874,276.3,4599997126
2796,274.7,4599997204
2672,275.3,4599997328
2604,278.9,4599997396
2501,273.9,4599997499
2402,277.9,4599997598
2280,277.6,4599997720
2196,276.7,4599997804
2125,276.7,4599997875
1999,276.9,4599998001
1880,278,4599998120
1801,278.7,4599998199
1706,278.9,4599998294
1620,280,4599998380
1521,279.2,4599998479
1418,277.4,4599998582
1301,278.7,4599998699
1221,277.7,4599998779
1128,279.1,4599998872
1018,276.6,4599998982
1008,279.5,4599998992
1003,279.6,4599998997
998,279.7,4599999002
993,279.8,4599999007
988,279.9,4599999012
983,280,4599999017
978,280.2,4599999022
973,280.3,4599999027
968,280.5,4599999032
963,280.7,4599999037
958,280.9,4599999042
953,281.1,4599999047
948,281.3,4599999052
943,281.5,4599999057
938,281.7,4599999062
933,281.9,4599999067
928,282.1,4599999072
923,282.3,4599999077
918,282.5,4599999082
913,282.7,4599999087
908,282.9,4599999092
903,283,4599999097
898,283.2,4599999102
893,283.3,4599999107
888,283.5,4599999112
883,283.6,4599999117
878,283.7,4599999122
873,283.8,4599999127
868,283.9,4599999132
863,284,4599999137
858,284,4599999142
853,284.1,4599999147
848,284.1,4599999152
843,284.1,4599999157
838,284,4599999162
833,284,4599999167
828,283.9,4599999172
823,283.8,4599999177
818,283.6,4599999182
813,283.4,4599999187
808,283.2,4599999192
803,283,4599999197
798,282.8,4599999202
793,282.5,4599999207
788,282.3,4599999212
783,282.2,4599999217
778,282,4599999222
773,281.9,4599999227
768,281.9,4599999232
763,281.9,4599999237
758,282,4599999242
753,282.1,4599999247
748,282.2,4599999252
743,282.3,4599999257
738,282.5,4599999262
733,282.6,4599999267
728,282.8,4599999272
723,282.9,4599999277
718,283,4599999282
713,283.1,4599999287
708,283.2,4599999292
703,283.3,4599999297
698,283.3,4599999302
693,283.2,4599999307
688,283.1,4599999312
683,282.9,4599999317
678,282.7,4599999322
673,282.4,4599999327
668,282.1,4599999332
663,281.8,4599999337
658,281.5,4599999342
653,281.2,4599999347
648,281,4599999352
643,280.7,4599999357
638,280.5,4599999362
633,280.4,4599999367
628,280.3,4599999372
623,280.3,4599999377
618,280.3,4599999382
613,280.4,4599999387
608,280.5,4599999392
603,280.6,4599999397
598,280.7,4599999402
593,280.8,4599999407
588,280.9,4599999412
583,280.9,4599999417
578,280.9,4599999422
573,280.9,4599999427
568,280.8,4599999432
563,280.7,4599999437
558,280.6,4599999442
553,280.6,4599999447
548,280.6,4599999452
543,280.8,4599999457
538,281,4599999462
533,281.3,4599999467
528,281.6,4599999472
523,281.9,4599999477
518,282.2,4599999482
513,282.5,4599999487
508,282.7,4599999492
503,282.9,4599999497
