"X","monarchTitle","eventDescription","reignStartYear","reignStartMonth","reignStartDay","reignEndYear","reignEndMonth","reignEndDay","country","house","birthYear","birthMonth","birthDay","deathYear","deathMonth","deathDay","reference","era","houseColours","start_ymd","end_ymd","startElapsedYears","endElapsedYears"
52,"James II","",1685,2,6,1688,12,23,"England and Scotland","Stuart",1633,10,14,1701,9,16,"https://en.wikipedia.org/wiki/James_II_of_England","CE","beige",1685.09863013699,1688.97540983607,4599999665.09863,4599999668.97541
53,"Mary II","",1689,2,13,1694,12,28,"England and Scotland","Stuart",1662,4,30,1694,12,28,"https://en.wikipedia.org/wiki/Mary_II_of_England","CE","beige",1689.11780821918,1694.98904109589,4599999669.11781,4599999674.98904
54,"William III","William of Orange",1689,2,13,1702,3,8,"England and Scotland","Stuart",1650,11,4,1702,3,8,"https://en.wikipedia.org/wiki/William_III_of_England","CE","beige",1689.11780821918,1702.18082191781,4599999669.11781,4599999682.18082
55,"Anne","United the kingdoms of England and Scotland in the Act of Union 1707.",1702,3,8,1707,5,1,"England and Scotland","Stuart",1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain","CE","beige",1702.18082191781,1707.32876712329,4599999682.18082,4599999687.32877
56,"Anne","United the kingdoms of England and Scotland in the Act of Union 1707.",1707,5,1,1714,8,1,"Great Britain","Stuart",1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain","CE","beige",1707.32876712329,1714.58082191781,4599999687.32877,4599999694.58082
57,"George I","George Louis",1714,8,1,1727,6,11,"Great Britain","Hanover",1660,5,28,1727,6,11,"https://en.wikipedia.org/wiki/George_I_of_Great_Britain","CE","firebrick1",1714.58082191781,1727.44109589041,4599999694.58082,4599999707.4411
58,"George II","George Augustus",1727,6,11,1760,10,25,"Great Britain","Hanover",1683,10,30,1760,10,25,"https://en.wikipedia.org/wiki/George_II_of_Great_Britain","CE","firebrick1",1727.44109589041,1760.81420765027,4599999707.4411,4599999740.81421
59,"George III","George William Frederick",1760,10,25,1820,1,29,"Great Britain","Hanover",1738,6,4,1820,1,29,"https://en.wikipedia.org/wiki/George_III_of_the_United_Kingdom","CE","firebrick1",1760.81420765027,1820.07650273224,4599999740.81421,4599999800.0765
60,"George IV","George Augustus Frederick",1820,1,29,1830,6,26,"Great Britain","Hanover",1762,8,12,1830,6,26,"https://en.wikipedia.org/wiki/George_IV_of_the_United_Kingdom","CE","firebrick1",1820.07650273224,1830.48219178082,4599999800.0765,4599999810.48219
61,"William IV","William Henry",1830,6,26,1837,6,20,"Great Britain","Hanover",1765,8,21,1837,6,20,"https://en.wikipedia.org/wiki/William_IV_of_the_United_Kingdom","CE","firebrick1",1830.48219178082,1837.46575342466,4599999810.48219,4599999817.46575
62,"Victoria","Alexandrina Victoria",1837,6,20,1901,1,22,"Great Britain","Hanover",1819,5,24,1901,1,22,"https://en.wikipedia.org/wiki/Queen_Victoria","CE","firebrick1",1837.46575342466,1901.05753424658,4599999817.46575,4599999881.05753
63,"Edward VII","Albert Edward",1901,1,22,1910,5,6,"Great Britain","Saxe-Coburg-Gotha",1814,11,9,1910,5,6,"https://en.wikipedia.org/wiki/Edward_VII","CE","lawngreen",1901.05753424658,1910.34246575342,4599999881.05753,4599999890.34247
64,"George V","George Frederick Ernest Albert",1910,5,6,1936,1,20,"Great Britain","Saxe-Coburg-Gotha",1856,6,3,1936,1,20,"https://en.wikipedia.org/wiki/George_V","CE","lawngreen",1910.34246575342,1936.05191256831,4599999890.34247,4599999916.05191
65,"Edward VIII","Edward Albert Christian George Andrew Patrick David",1936,1,20,1936,12,11,"Great Britain","Windsor",1894,6,23,1972,5,28,"https://en.wikipedia.org/wiki/Edward_VIII","CE","violet",1936.05191256831,1936.94262295082,4599999916.05191,4599999916.94262
66,"George VI","Albert Frederick Arthur George",1936,12,11,1952,2,6,"Great Britain","Windsor",1895,12,14,1952,2,6,"https://en.wikipedia.org/wiki/George_VI","CE","violet",1936.94262295082,1952.09836065574,4599999916.94262,4599999932.09836
67,"Elizabeth II","Elizabeth Alexandra Mary",1952,2,6,2020,1,8,"Great Britain","Windsor",1926,4,21,2020,1,29,"https://en.wikipedia.org/wiki/Elizabeth_II","CE","violet",1952.09836065574,2020.01912568306,4599999932.09836,4600000000.01913
