Structure.Name,Age_Ma,Original_column,Diameter_km,Location,Reference,yearsElapsed
Oasis,120,< 120,18,Libya,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.48E+09
Rotmistrovka,120,120 ± 10,2.7,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.48E+09
Mien,121,121.0 ± 2.3,9,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.48E+09
Vargeão Dome,123,123 ±1.4,12,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.48E+09
Tookoonoka,128,128 ± 5,55,"Queensland, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.47E+09
Tunnunik (Prince Albert),130,">130, <450",25,"Victoria Island, Arctic Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.47E+09
Mjølnir,142,142.0 ± 2.6,40,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.46E+09
Gosses Bluff,142.5,142.5 ± 0.8,22,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4457500000
Morokweng,145,145.0 ± 0.8,70,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.46E+09
Liverpool,150,150 ± 70,1.6,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.45E+09
Tabun-Khara-Obo,150,150 ± 20,1.3,Mongolia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.45E+09
Vepriai,160,> 160 ± 10,8,Lithuania,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.44E+09
Zapadnaya,165,165 ± 5,3.2,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.44E+09
Puchezh-Katunki,167,167 ± 3,40,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.43E+09
Obolon',169,169 ± 7,20,Ukraine,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.43E+09
Upheaval Dome,170,< 170,10,"Utah, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.43E+09
Kgagodi,180,< 180,3.5,Botswana,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.42E+09
Cloud Creek,190,190 ± 30,7,"Wyoming, USA",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.41E+09
Viewfield,190,190 ± 20,2.5,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.41E+09
Red Wing,200,200 ± 25,9,"North Dakota, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.40E+09
Riachao Ring,200,< 200,4.5,Brazil,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.40E+09
Wells Creek,200,200 ± 100,12,"Tennessee, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.40E+09
