The copyright to the intellectual property of this file is held by www.climatedata.info
Title,Estimated monthly sunspot nmubers.,,
Reference,"Hoyt, D. V., and K. H. Schatten, 1997. Group Sunspot Numbers: A New Solar Activity Reconstruction. Solar Physics, (submitted).",,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsunspotnumber.html,,
Missing,-99,,
Yeay,Month,Date,Sun spot number
1680,10,1680.791667,0
1680,11,1680.875,0
1680,12,1680.958333,0
1681,1,1681.041667,0
1681,2,1681.125,0
1681,3,1681.208333,0
1681,4,1681.291667,0
1681,5,1681.375,0.4
1681,6,1681.458333,0
1681,7,1681.541667,0
1681,8,1681.625,0
1681,9,1681.708333,0
1681,10,1681.791667,0
1681,11,1681.875,0
1681,12,1681.958333,0
1682,1,1682.041667,0
1682,2,1682.125,0
1682,3,1682.208333,0
1682,4,1682.291667,0
1682,5,1682.375,0
1682,6,1682.458333,0
1682,7,1682.541667,0
1682,8,1682.625,0
1682,9,1682.708333,0
1682,10,1682.791667,0
1682,11,1682.875,0
1682,12,1682.958333,0
1683,1,1683.041667,0
1683,2,1683.125,0
1683,3,1683.208333,0
1683,4,1683.291667,0
1683,5,1683.375,0
1683,6,1683.458333,0
1683,7,1683.541667,0
1683,8,1683.625,0
1683,9,1683.708333,0
1683,10,1683.791667,0
1683,11,1683.875,0
1683,12,1683.958333,0
1684,1,1684.041667,0
1684,2,1684.125,0
1684,3,1684.208333,0
1684,4,1684.291667,2.2
1684,5,1684.375,4.4
1684,6,1684.458333,5.8
1684,7,1684.541667,4.6
1684,8,1684.625,0
1684,9,1684.708333,0
1684,10,1684.791667,0
1684,11,1684.875,0
1684,12,1684.958333,0
1685,1,1685.041667,0
1685,2,1685.125,0
1685,3,1685.208333,0
1685,4,1685.291667,0
1685,5,1685.375,0
1685,6,1685.458333,0
1685,7,1685.541667,0
1685,8,1685.625,0
1685,9,1685.708333,0
1685,10,1685.791667,0
1685,11,1685.875,0
1685,12,1685.958333,0
1686,1,1686.041667,0
1686,2,1686.125,0
1686,3,1686.208333,0
1686,4,1686.291667,5.2
1686,5,1686.375,0.4
1686,6,1686.458333,0
1686,7,1686.541667,0
1686,8,1686.625,0
1686,9,1686.708333,1.2
1686,10,1686.791667,0
1686,11,1686.875,0
1686,12,1686.958333,0
1687,1,1687.041667,0
1687,2,1687.125,0
1687,3,1687.208333,0
1687,4,1687.291667,0
1687,5,1687.375,0
1687,6,1687.458333,0
1687,7,1687.541667,0
1687,8,1687.625,0
1687,9,1687.708333,0
1687,10,1687.791667,0.4
1687,11,1687.875,0.4
1687,12,1687.958333,0
1688,1,1688.041667,0
1688,2,1688.125,0
1688,3,1688.208333,0
1688,4,1688.291667,0
1688,5,1688.375,0.4
1688,6,1688.458333,0
1688,7,1688.541667,0
1688,8,1688.625,0
1688,9,1688.708333,0.4
1688,10,1688.791667,1.3
1688,11,1688.875,4
1688,12,1688.958333,0
1689,1,1689.041667,0
1689,2,1689.125,0
1689,3,1689.208333,2.3
1689,4,1689.291667,0
1689,5,1689.375,0
1689,6,1689.458333,0
1689,7,1689.541667,0
1689,8,1689.625,0
1689,9,1689.708333,0
1689,10,1689.791667,0
1689,11,1689.875,0
1689,12,1689.958333,0
1690,1,1690.041667,0
1690,2,1690.125,0
1690,3,1690.208333,0
1690,4,1690.291667,0
1690,5,1690.375,0
1690,6,1690.458333,0
1690,7,1690.541667,0
1690,8,1690.625,0
1690,9,1690.708333,0
1690,10,1690.791667,0
1690,11,1690.875,0
1690,12,1690.958333,0
1691,1,1691.041667,0
1691,2,1691.125,0
1691,3,1691.208333,0
1691,4,1691.291667,0
1691,5,1691.375,0
1691,6,1691.458333,0
1691,7,1691.541667,0
1691,8,1691.625,0
1691,9,1691.708333,0
1691,10,1691.791667,0
1691,11,1691.875,0
1691,12,1691.958333,0
1692,1,1692.041667,0
1692,2,1692.125,0
1692,3,1692.208333,0
1692,4,1692.291667,0
1692,5,1692.375,0
1692,6,1692.458333,0
1692,7,1692.541667,0
1692,8,1692.625,0
1692,9,1692.708333,0
1692,10,1692.791667,0
1692,11,1692.875,0
1692,12,1692.958333,0
1693,1,1693.041667,0
1693,2,1693.125,0
1693,3,1693.208333,0
1693,4,1693.291667,0
1693,5,1693.375,0
1693,6,1693.458333,0
1693,7,1693.541667,0
1693,8,1693.625,0
1693,9,1693.708333,0
1693,10,1693.791667,0
1693,11,1693.875,0
1693,12,1693.958333,0
1694,1,1694.041667,0
1694,2,1694.125,0
1694,3,1694.208333,0
1694,4,1694.291667,0
1694,5,1694.375,0
1694,6,1694.458333,0
1694,7,1694.541667,0
1694,8,1694.625,0
1694,9,1694.708333,0
1694,10,1694.791667,0
1694,11,1694.875,0
1694,12,1694.958333,0
1695,1,1695.041667,0
1695,2,1695.125,0
1695,3,1695.208333,0
1695,4,1695.291667,0
1695,5,1695.375,1.5
1695,6,1695.458333,0
1695,7,1695.541667,0
1695,8,1695.625,0
1695,9,1695.708333,0
1695,10,1695.791667,0
1695,11,1695.875,0
1695,12,1695.958333,0
1696,1,1696.041667,0
1696,2,1696.125,0
1696,3,1696.208333,0
1696,4,1696.291667,0
1696,5,1696.375,0
