The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
1989,12,2063,165.5,-3309,3309
1990,1,2034,177.3,-3392,3392
1990,2,1741,130.5,-3434,3434
1990,3,1870,140.3,-3383,3383
1990,4,1866,140.3,-3278,3278
1990,5,1940,132.2,-3236,3236
1990,6,1763,105.4,-3244,3244
1990,7,1866,149.4,-3366,3366
1990,8,2281,200.3,-3337,3337
1990,9,1793,125.2,-3409,3409
1990,10,1809,145.5,-3497,3497
1990,11,1803,131.4,-3564,3564
1990,12,1985,129.7,-3577,3577
1991,1,2221,136.9,-3675,3675
1991,2,2372,167.5,-3680,3680
1991,3,2276,141.9,-3409,3409
1991,4,2001,140,-3428,3428
1991,5,1945,121.3,-3452,3452
1991,6,2133,169.7,-3005,3005
1991,7,2189,173.7,-3026,3026
1991,8,2155,176.3,-3253,3253
1991,9,1825,125.3,-3440,3440
1991,10,2000,144.1,-3508,3508
1991,11,1683,108.2,-3527,3527
1991,12,2170,144.4,-3585,3585
1992,1,2106,150,-3595,3595
1992,2,2265,161.1,-3557,3557
1992,3,1696,106.7,-3639,3639
1992,4,1597,99.8,-3757,3757
1992,5,1282,73.8,-3730,3730
1992,6,1204,65.2,-3830,3830
1992,7,1365,85.7,-3891,3891
1992,8,1251,64.5,-3892,3892
1992,9,1180,63.9,-3880,3880
1992,10,1308,88.7,-3941,3941
1992,11,1420,91.8,-3919,3919
1992,12,1347,82.6,-3988,3988
1993,1,1172,59.3,-3961,3961
1993,2,1391,91,-3959,3959
1993,3,1350,69.8,-3901,3901
1993,4,1167,62.2,-3955,3955
1993,5,1149,61.3,-3979,3979
1993,6,1128,49.8,-4012,4012
1993,7,1022,57.9,-4026,4026
1993,8,960,42.2,-4027,4027
1993,9,879,22.4,-4063,4063
1993,10,997,56.4,-4073,4073
1993,11,938,35.6,-4089,4089
1993,12,1015,48.9,-4073,4073
1994,1,1113,57.8,-4080,4080
1994,2,972,35.5,-4030,4030
1994,3,895,31.7,-4009,4009
1994,4,797,16.1,-3999,3999
1994,5,817,17.8,-4027,4027
1994,6,797,28,-4036,4036
1994,7,832,35.1,-4068,4068
1994,8,780,22.5,-4090,4090
1994,9,799,25.7,-4123,4123
1994,10,871,44,-4129,4129
1994,11,791,18,-4137,4137
1994,12,748,26.2,-4118,4118
1995,1,800,24.2,-4146,4146
1995,2,835,29.9,-4143,4143
1995,3,842,31.1,-4130,4130
1995,4,782,14,-4149,4149
1995,5,771,14.5,-4157,4157
1995,6,781,15.6,-4143,4143
1995,7,763,14.5,-4146,4146
1995,8,757,14.3,-4159,4159
1995,9,728,11.8,-4184,4184
1995,10,775,21.1,-4190,4190
1995,11,726,9,-4176,4176
1995,12,703,10,-4159,4159
1996,1,721,11.5,-4198,4198
1996,2,698,4.4,-4216,4216
1996,3,700,9.2,-4224,4224
1996,4,699,4.8,-4218,4218
1996,5,717,5.5,-4200,4200
