years_before_present,temp_anomaly_C,reference
-1712,-0.37,
-1711,-0.28,
-1710,-0.18,
-1709,-0.16,
-1708,-0.25,
-1707,-0.3,
-1706,-0.31,
-1705,-0.37,
-1704,-0.42,
-1703,-0.39,
-1702,-0.36,
-1701,-0.45,
-1700,-0.69,
-1699,-0.82,
-1698,-0.73,
-1697,-0.68,
-1696,-0.65,
-1695,-0.52,
-1694,-0.37,
-1693,-0.3,
-1692,-0.35,
-1691,-0.34,
-1690,-0.21,
-1689,-0.13,
-1688,-0.19,
-1687,-0.32,
-1686,-0.39,
-1685,-0.41,
-1684,-0.42,
-1683,-0.4,
-1682,-0.37,
-1681,-0.41,
-1680,-0.43,
-1679,-0.36,
-1678,-0.29,
-1677,-0.31,
-1676,-0.37,
-1675,-0.33,
-1674,-0.26,
-1673,-0.28,
-1672,-0.3,
-1671,-0.21,
-1670,-0.13,
-1669,-0.19,
-1668,-0.32,
-1667,-0.34,
-1666,-0.24,
-1665,-0.18,
-1664,-0.2,
-1663,-0.19,
-1662,-0.19,
-1661,-0.18,
-1660,-0.17,
-1659,-0.18,
-1658,-0.1,
-1657,-0.07,
-1656,-0.08,
-1655,-0.09,
-1654,-0.12,
-1653,-0.17,
-1652,-0.35,
-1651,-0.63,
-1650,-0.61,
-1649,-0.35,
-1648,-0.2,
-1647,-0.21,
-1646,-0.23,
-1645,-0.28,
-1644,-0.41,
-1643,-0.52,
-1642,-0.5,
-1641,-0.4,
-1640,-0.32,
-1639,-0.33,
-1638,-0.42,
-1637,-0.44,
-1636,-0.36,
-1635,-0.35,
-1634,-0.41,
-1633,-0.33,
-1632,-0.24,
-1631,-0.22,
-1630,-0.25,
-1629,-0.19,
-1628,-0.07,
-1627,-0.05,
-1626,-0.12,
-1625,-0.13,
-1624,-0.12,
-1623,-0.12,
-1622,-0.12,
-1621,-0.18,
-1620,-0.22,
-1619,-0.21,
-1618,-0.25,
-1617,-0.32,
-1616,-0.28,
-1615,-0.19,
-1614,-0.18,
-1613,-0.19,
-1612,-0.19,
-1611,-0.23,
-1610,-0.3,
-1609,-0.39,
-1608,-0.46,
-1607,-0.47,
-1606,-0.43,
-1605,-0.4,
-1604,-0.39,
-1603,-0.32,
-1602,-0.34,
-1601,-0.44,
-1600,-0.49,
-1599,-0.48,
-1598,-0.43,
-1597,-0.39,
-1596,-0.38,
-1595,-0.39,
-1594,-0.35,
-1593,-0.27,
-1592,-0.2,
-1591,-0.2,
-1590,-0.25,
-1589,-0.27,
-1588,-0.16,
-1587,-0.09,
-1586,-0.14,
-1585,-0.23,
-1584,-0.39,
-1583,-0.43,
-1582,-0.27,
-1581,-0.2,
-1580,-0.31,
-1579,-0.52,
-1578,-0.64,
-1577,-0.46,
-1576,-0.26,
-1575,-0.29,
-1574,-0.46,
-1573,-0.48,
-1572,-0.44,
-1571,-0.43,
-1570,-0.38,
-1569,-0.33,
-1568,-0.21,
-1567,-0.1,
-1566,-0.15,
-1565,-0.23,
-1564,-0.18,
-1563,-0.11,
-1562,-0.1,
-1561,-0.1,
-1560,-0.12,
-1559,-0.17,
-1558,-0.27,
-1557,-0.41,
-1556,-0.46,
-1555,-0.41,
-1554,-0.42,
-1553,-0.45,
-1552,-0.41,
-1551,-0.35,
-1550,-0.32,
-1549,-0.33,
-1548,-0.34,
-1547,-0.37,
-1546,-0.39,
-1545,-0.33,
-1544,-0.26,
-1543,-0.25,
-1542,-0.27,
-1541,-0.28,
-1540,-0.26,
-1539,-0.28,
-1538,-0.31,
-1537,-0.3,
-1536,-0.3,
-1535,-0.35,
-1534,-0.41,
-1533,-0.42,
-1532,-0.43,
-1531,-0.4,
-1530,-0.38,
-1529,-0.35,
-1528,-0.27,
-1527,-0.23,
-1526,-0.21,
-1525,-0.19,
-1524,-0.27,
-1523,-0.37,
-1522,-0.35,
-1521,-0.33,
-1520,-0.41,
-1519,-0.44,
-1518,-0.34,
-1517,-0.25,
-1516,-0.28,
-1515,-0.37,
-1514,-0.46,
-1513,-0.43,
-1512,-0.26,
-1511,-0.08,
-1510,-0.01,
-1509,-0.09,
-1508,-0.26,
-1507,-0.36,
-1506,-0.34,
-1505,-0.3,
-1504,-0.33,
-1503,-0.42,
-1502,-0.44,
-1501,-0.38,
-1500,-0.3,
-1499,-0.21,
-1498,-0.15,
-1497,-0.2,
-1496,-0.29,
-1495,-0.3,
-1494,-0.27,
-1493,-0.32,
-1492,-0.38,
-1491,-0.34,
-1490,-0.31,
-1489,-0.33,
-1488,-0.25,
-1487,-0.21,
-1486,-0.36,
-1485,-0.63,
-1484,-0.76,
-1483,-0.62,
-1482,-0.48,
-1481,-0.52,
-1480,-0.58,
-1479,-0.65,
-1478,-0.72,
-1477,-0.75,
-1476,-0.77,
-1475,-0.76,
-1474,-0.7,
-1473,-0.58,
-1472,-0.4,
-1471,-0.29,
-1470,-0.27,
-1469,-0.27,
-1468,-0.34,
-1467,-0.55,
-1466,-0.69,
-1465,-0.49,
-1464,-0.22,
-1463,-0.14,
-1462,-0.13,
-1461,-0.04,
-1460,0.03,
-1459,-0.21,
-1458,-0.58,
-1457,-0.63,
-1456,-0.41,
-1455,-0.31,
-1454,-0.27,
-1453,-0.19,
-1452,-0.27,
-1451,-0.44,
-1450,-0.45,
-1449,-0.33,
-1448,-0.26,
-1447,-0.23,
-1446,-0.21,
-1445,-0.2,
-1444,-0.21,
-1443,-0.2,
-1442,-0.2,
-1441,-0.26,
-1440,-0.3,
-1439,-0.21,
-1438,-0.08,
-1437,-0.05,
-1436,-0.06,
-1435,-0.01,
-1434,0.05,
-1433,-0.03,
-1432,-0.2,
-1431,-0.35,
-1430,-0.45,
-1429,-0.38,
-1428,-0.12,
-1427,-0.03,
-1426,-0.15,
-1425,-0.25,
-1424,-0.3,
-1423,-0.29,
-1422,-0.27,
-1421,-0.23,
-1420,-0.15,
-1419,-0.17,
-1418,-0.26,
-1417,-0.29,
-1416,-0.21,
-1415,-0.21,
-1414,-0.27,
-1413,-0.28,
-1412,-0.3,
-1411,-0.39,
-1410,-0.5,
-1409,-0.51,
-1408,-0.39,
-1407,-0.29,
-1406,-0.34,
-1405,-0.4,
-1404,-0.34,
-1403,-0.25,
-1402,-0.26,
-1401,-0.36,
-1400,-0.42,
-1399,-0.39,
-1398,-0.33,
-1397,-0.32,
-1396,-0.35,
-1395,-0.46,
-1394,-0.57,
-1393,-0.51,
-1392,-0.35,
-1391,-0.32,
-1390,-0.36,
-1389,-0.3,
-1388,-0.23,
-1387,-0.25,
-1386,-0.3,
-1385,-0.32,
-1384,-0.32,
-1383,-0.33,
-1382,-0.42,
-1381,-0.51,
-1380,-0.48,
-1379,-0.38,
-1378,-0.35,
-1377,-0.45,
-1376,-0.62,
-1375,-0.63,
-1374,-0.43,
-1373,-0.32,
-1372,-0.35,
-1371,-0.33,
-1370,-0.32,
-1369,-0.37,
-1368,-0.3,
-1367,-0.21,
-1366,-0.12,
-1365,-0.03,
-1364,-0.05,
-1363,-0.14,
-1362,-0.21,
-1361,-0.28,
-1360,-0.33,
-1359,-0.28,
-1358,-0.15,
-1357,-0.13,
-1356,-0.21,
-1355,-0.18,
-1354,-0.1,
-1353,-0.11,
-1352,-0.19,
-1351,-0.26,
-1350,-0.2,
-1349,-0.04,
-1348,0.03,
-1347,0.02,
-1346,0.08,
-1345,0.01,
-1344,-0.26,
-1343,-0.41,
-1342,-0.25,
-1341,-0.09,
-1340,-0.21,
-1339,-0.33,
-1338,-0.21,
-1337,-0.16,
-1336,-0.24,
-1335,-0.22,
-1334,-0.13,
-1333,-0.07,
-1332,-0.08,
-1331,-0.09,
-1330,-0.06,
-1329,-0.04,
-1328,-0.04,
-1327,0,
-1326,0.02,
-1325,0.01,
-1324,-0.02,
-1323,-0.1,
-1322,-0.27,
-1321,-0.3,
-1320,-0.09,
-1319,0,
-1318,-0.06,
-1317,0.02,
-1316,0.15,
-1315,0.09,
-1314,-0.12,
-1313,-0.26,
-1312,-0.2,
-1311,-0.11,
-1310,-0.1,
-1309,-0.14,
-1308,-0.14,
-1307,-0.13,
-1306,-0.14,
-1305,-0.11,
-1304,-0.13,
-1303,-0.22,
-1302,-0.3,
-1301,-0.35,
-1300,-0.34,
-1299,-0.2,
-1298,-0.06,
-1297,-0.02,
-1296,-0.05,
-1295,-0.09,
-1294,-0.13,
-1293,-0.17,
-1292,-0.19,
-1291,-0.17,
-1290,-0.06,
-1289,0.05,
-1288,0.04,
-1287,-0.04,
-1286,-0.02,
-1285,0.06,
-1284,0.02,
-1283,-0.1,
-1282,-0.2,
-1281,-0.34,
-1280,-0.41,
-1279,-0.32,
-1278,-0.26,
-1277,-0.34,
-1276,-0.4,
-1275,-0.38,
-1274,-0.29,
-1273,-0.21,
-1272,-0.2,
-1271,-0.21,
-1270,-0.22,
-1269,-0.3,
-1268,-0.31,
-1267,-0.23,
-1266,-0.19,
-1265,-0.23,
-1264,-0.24,
-1263,-0.2,
-1262,-0.12,
-1261,-0.09,
-1260,-0.22,
-1259,-0.41,
-1258,-0.45,
-1257,-0.25,
-1256,-0.03,
-1255,-0.04,
-1254,-0.22,
-1253,-0.29,
-1252,-0.2,
-1251,-0.15,
-1250,-0.16,
-1249,-0.23,
-1248,-0.31,
-1247,-0.36,
-1246,-0.35,
-1245,-0.33,
-1244,-0.32,
-1243,-0.32,
-1242,-0.29,
-1241,-0.27,
-1240,-0.28,
-1239,-0.27,
-1238,-0.18,
-1237,-0.02,
-1236,0.12,
-1235,0.14,
-1234,0.09,
-1233,0.04,
-1232,-0.05,
-1231,-0.12,
-1230,-0.11,
-1229,-0.07,
-1228,-0.08,
-1227,-0.18,
-1226,-0.25,
-1225,-0.18,
-1224,-0.11,
-1223,-0.16,
