Title,Pacific Decadal Oscillation Index,,,
Reference,"Zhang, Y., J.M. Wallace, D.S. Battisti, 1997:      ENSO-like interdecadal variability: 1900-93. J. Climate, 10, 1004-1020. ",,,
URL,http://jisao.washington.edu/pdo/PDO.latest,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Jul-41,1941.542,2.33,2.33,0
Aug-41,1941.625,3.31,3.31,0
Sep-41,1941.708,1.99,1.99,0
Oct-41,1941.792,1.22,1.22,0
Nov-41,1941.875,0.4,0.4,0
Dec-41,1941.958,0.91,0.91,0
Jan-42,1942.042,1.01,1.01,0
Feb-42,1942.125,0.79,0.79,0
Mar-42,1942.208,0.29,0.29,0
Apr-42,1942.292,0.79,0.79,0
May-42,1942.375,0.84,0.84,0
Jun-42,1942.458,1.19,1.19,0
Jul-42,1942.542,0.12,0.12,0
Aug-42,1942.625,0.44,0.44,0
Sep-42,1942.708,0.68,0.68,0
Oct-42,1942.792,0.54,0.54,0
Nov-42,1942.875,-0.1,0,-0.1
Dec-42,1942.958,-1,0,-1
Jan-43,1943.042,-0.18,0,-0.18
Feb-43,1943.125,0.02,0.02,0
Mar-43,1943.208,0.26,0.26,0
Apr-43,1943.292,1.08,1.08,0
May-43,1943.375,0.43,0.43,0
Jun-43,1943.458,0.68,0.68,0
Jul-43,1943.542,-0.36,0,-0.36
Aug-43,1943.625,-0.9,0,-0.9
Sep-43,1943.708,-0.49,0,-0.49
Oct-43,1943.792,-0.04,0,-0.04
Nov-43,1943.875,0.29,0.29,0
Dec-43,1943.958,0.58,0.58,0
Jan-44,1944.042,0.18,0.18,0
Feb-44,1944.125,0.17,0.17,0
Mar-44,1944.208,0.08,0.08,0
Apr-44,1944.292,0.72,0.72,0
May-44,1944.375,-0.35,0,-0.35
Jun-44,1944.458,-0.98,0,-0.98
Jul-44,1944.542,-0.4,0,-0.4
Aug-44,1944.625,-0.51,0,-0.51
Sep-44,1944.708,-0.56,0,-0.56
Oct-44,1944.792,-0.4,0,-0.4
Nov-44,1944.875,0.33,0.33,0
Dec-44,1944.958,0.2,0.2,0
Jan-45,1945.042,-1.02,0,-1.02
Feb-45,1945.125,0.72,0.72,0
Mar-45,1945.208,-0.42,0,-0.42
Apr-45,1945.292,-0.4,0,-0.4
May-45,1945.375,-0.07,0,-0.07
Jun-45,1945.458,0.56,0.56,0
Jul-45,1945.542,1.02,1.02,0
Aug-45,1945.625,0.18,0.18,0
Sep-45,1945.708,-0.27,0,-0.27
Oct-45,1945.792,0.1,0.1,0
Nov-45,1945.875,-1.94,0,-1.94
Dec-45,1945.958,-0.74,0,-0.74
Jan-46,1946.042,-0.91,0,-0.91
Feb-46,1946.125,-0.32,0,-0.32
Mar-46,1946.208,-0.41,0,-0.41
Apr-46,1946.292,-0.78,0,-0.78
May-46,1946.375,0.5,0.5,0
Jun-46,1946.458,-0.86,0,-0.86
Jul-46,1946.542,-0.84,0,-0.84
Aug-46,1946.625,-0.36,0,-0.36
Sep-46,1946.708,-0.22,0,-0.22
Oct-46,1946.792,-0.36,0,-0.36
Nov-46,1946.875,-1.48,0,-1.48
Dec-46,1946.958,-0.96,0,-0.96
Jan-47,1947.042,-0.73,0,-0.73
Feb-47,1947.125,-0.29,0,-0.29
Mar-47,1947.208,1.17,1.17,0
Apr-47,1947.292,0.7,0.7,0
May-47,1947.375,0.37,0.37,0
Jun-47,1947.458,1.36,1.36,0
Jul-47,1947.542,0.16,0.16,0
Aug-47,1947.625,0.3,0.3,0
Sep-47,1947.708,0.58,0.58,0
Oct-47,1947.792,0.85,0.85,0
Nov-47,1947.875,-0.14,0,-0.14
Dec-47,1947.958,1.67,1.67,0
Jan-48,1948.042,-0.11,0,-0.11
Feb-48,1948.125,-0.74,0,-0.74
Mar-48,1948.208,-0.03,0,-0.03
Apr-48,1948.292,-1.33,0,-1.33
May-48,1948.375,-0.23,0,-0.23
Jun-48,1948.458,0.08,0.08,0
Jul-48,1948.542,-0.92,0,-0.92
Aug-48,1948.625,-1.56,0,-1.56
Sep-48,1948.708,-1.74,0,-1.74
Oct-48,1948.792,-1.32,0,-1.32
Nov-48,1948.875,-0.89,0,-0.89
Dec-48,1948.958,-1.7,0,-1.7
Jan-49,1949.042,-2.01,0,-2.01
Feb-49,1949.125,-3.6,0,-3.6
Mar-49,1949.208,-1,0,-1
Apr-49,1949.292,-0.53,0,-0.53
May-49,1949.375,-1.07,0,-1.07
Jun-49,1949.458,-0.7,0,-0.7
Jul-49,1949.542,-0.56,0,-0.56
Aug-49,1949.625,-1.3,0,-1.3
Sep-49,1949.708,-0.93,0,-0.93
Oct-49,1949.792,-1.41,0,-1.41
Nov-49,1949.875,-0.83,0,-0.83
Dec-49,1949.958,-0.8,0,-0.8
Jan-50,1950.042,-2.13,0,-2.13
Feb-50,1950.125,-2.91,0,-2.91
Mar-50,1950.208,-1.13,0,-1.13
Apr-50,1950.292,-1.2,0,-1.2
May-50,1950.375,-2.23,0,-2.23
Jun-50,1950.458,-1.77,0,-1.77
Jul-50,1950.542,-2.93,0,-2.93
Aug-50,1950.625,-0.7,0,-0.7
Sep-50,1950.708,-2.14,0,-2.14
Oct-50,1950.792,-1.36,0,-1.36
Nov-50,1950.875,-2.46,0,-2.46
Dec-50,1950.958,-0.76,0,-0.76
Jan-51,1951.042,-1.54,0,-1.54
Feb-51,1951.125,-1.06,0,-1.06
Mar-51,1951.208,-1.9,0,-1.9
