Title,Oceanic Nino Index,,,
Reference,"NOAA, National Weather Service, Climate Prediction Center",,,
URL,http://www.cpc.noaa.gov/products/analysis_monitoring/ensostuff/ensoyears.shtml,,,
Missing,-999.9,,,
Date,Year,Index,Positive index,Negative index
Feb-87,1987.125,1.3,1.3,0
Mar-87,1987.208,1.2,1.2,0
Apr-87,1987.292,1.1,1.1,0
May-87,1987.375,1,1,0
Jun-87,1987.458,1.2,1.2,0
Jul-87,1987.542,1.4,1.4,0
Aug-87,1987.625,1.6,1.6,0
Sep-87,1987.708,1.6,1.6,0
Oct-87,1987.792,1.5,1.5,0
Nov-87,1987.875,1.3,1.3,0
Dec-87,1987.958,1.1,1.1,0
Jan-88,1988.042,0.7,0.7,0
Feb-88,1988.125,0.5,0.5,0
Mar-88,1988.208,0.1,0.1,0
Apr-88,1988.292,-0.2,0,-0.2
May-88,1988.375,-0.7,0,-0.7
Jun-88,1988.458,-1.2,0,-1.2
Jul-88,1988.542,-1.3,0,-1.3
Aug-88,1988.625,-1.2,0,-1.2
Sep-88,1988.708,-1.3,0,-1.3
Oct-88,1988.792,-1.6,0,-1.6
Nov-88,1988.875,-1.9,0,-1.9
Dec-88,1988.958,-1.9,0,-1.9
Jan-89,1989.042,-1.7,0,-1.7
Feb-89,1989.125,-1.5,0,-1.5
Mar-89,1989.208,-1.1,0,-1.1
Apr-89,1989.292,-0.8,0,-0.8
May-89,1989.375,-0.6,0,-0.6
Jun-89,1989.458,-0.4,0,-0.4
Jul-89,1989.542,-0.3,0,-0.3
Aug-89,1989.625,-0.3,0,-0.3
Sep-89,1989.708,-0.3,0,-0.3
Oct-89,1989.792,-0.3,0,-0.3
Nov-89,1989.875,-0.2,0,-0.2
Dec-89,1989.958,-0.1,0,-0.1
Jan-90,1990.042,0.1,0.1,0
Feb-90,1990.125,0.2,0.2,0
Mar-90,1990.208,0.2,0.2,0
Apr-90,1990.292,0.2,0.2,0
May-90,1990.375,0.2,0.2,0
Jun-90,1990.458,0.2,0.2,0
Jul-90,1990.542,0.3,0.3,0
Aug-90,1990.625,0.3,0.3,0
Sep-90,1990.708,0.3,0.3,0
Oct-90,1990.792,0.3,0.3,0
Nov-90,1990.875,0.3,0.3,0
Dec-90,1990.958,0.4,0.4,0
Jan-91,1991.042,0.4,0.4,0
Feb-91,1991.125,0.3,0.3,0
Mar-91,1991.208,0.3,0.3,0
Apr-91,1991.292,0.4,0.4,0
May-91,1991.375,0.6,0.6,0
Jun-91,1991.458,0.8,0.8,0
Jul-91,1991.542,1,1,0
Aug-91,1991.625,0.9,0.9,0
Sep-91,1991.708,0.9,0.9,0
Oct-91,1991.792,1,1,0
Nov-91,1991.875,1.4,1.4,0
Dec-91,1991.958,1.6,1.6,0
Jan-92,1992.042,1.8,1.8,0
Feb-92,1992.125,1.6,1.6,0
Mar-92,1992.208,1.5,1.5,0
Apr-92,1992.292,1.4,1.4,0
May-92,1992.375,1.2,1.2,0
Jun-92,1992.458,0.8,0.8,0
Jul-92,1992.542,0.5,0.5,0
Aug-92,1992.625,0.2,0.2,0
Sep-92,1992.708,0,0,0
Oct-92,1992.792,-0.1,0,-0.1
Nov-92,1992.875,0,0,0
Dec-92,1992.958,0.2,0.2,0
Jan-93,1993.042,0.3,0.3,0
Feb-93,1993.125,0.4,0.4,0
Mar-93,1993.208,0.6,0.6,0
Apr-93,1993.292,0.7,0.7,0
May-93,1993.375,0.8,0.8,0
Jun-93,1993.458,0.7,0.7,0
Jul-93,1993.542,0.4,0.4,0
Aug-93,1993.625,0.4,0.4,0
Sep-93,1993.708,0.4,0.4,0
Oct-93,1993.792,0.4,0.4,0
Nov-93,1993.875,0.3,0.3,0
Dec-93,1993.958,0.2,0.2,0
Jan-94,1994.042,0.2,0.2,0
Feb-94,1994.125,0.2,0.2,0
Mar-94,1994.208,0.3,0.3,0
Apr-94,1994.292,0.4,0.4,0
May-94,1994.375,0.5,0.5,0
Jun-94,1994.458,0.5,0.5,0
Jul-94,1994.542,0.6,0.6,0
Aug-94,1994.625,0.6,0.6,0
Sep-94,1994.708,0.7,0.7,0
Oct-94,1994.792,0.9,0.9,0
Nov-94,1994.875,1.2,1.2,0
Dec-94,1994.958,1.3,1.3,0
Jan-95,1995.042,1.2,1.2,0
Feb-95,1995.125,0.9,0.9,0
Mar-95,1995.208,0.7,0.7,0
Apr-95,1995.292,0.4,0.4,0
May-95,1995.375,0.3,0.3,0
Jun-95,1995.458,0.2,0.2,0
Jul-95,1995.542,0,0,0
Aug-95,1995.625,-0.2,0,-0.2
Sep-95,1995.708,-0.5,0,-0.5
Oct-95,1995.792,-0.6,0,-0.6
Nov-95,1995.875,-0.7,0,-0.7
Dec-95,1995.958,-0.7,0,-0.7
Jan-96,1996.042,-0.7,0,-0.7
Feb-96,1996.125,-0.7,0,-0.7
Mar-96,1996.208,-0.5,0,-0.5
Apr-96,1996.292,-0.3,0,-0.3
May-96,1996.375,-0.1,0,-0.1
Jun-96,1996.458,-0.1,0,-0.1
Jul-96,1996.542,0,0,0
Aug-96,1996.625,-0.1,0,-0.1
