The copyright to the intellectual property of this file is held by www.climatedata.info,,,,,,
Title,Milankovitch radiation for different latitudes and time periods,,,,,
Source:,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,,,,
Average of 60 and 70 N,,,,,,
BP,Months  7to 7,Annual 65N,Annual global,BP,BP,Global cos-weighted
-776800,422.43,210.73,291.14,-569,-569000,340.864
-776700,422.31,210.79,291.12,-568,-568000,340.862
-776600,422.19,210.85,291.1,-567,-567000,340.86
-776500,422.07,210.91,291.08,-566,-566000,340.859
-776400,421.95,210.97,291.07,-565,-565000,340.857
-776300,421.83,211.03,291.05,-564,-564000,340.855
-776200,421.7,211.09,291.03,-563,-563000,340.853
-776100,421.58,211.15,291.01,-562,-562000,340.851
-776000,421.46,211.22,290.99,-561,-561000,340.849
-775900,421.34,211.28,290.97,-560,-560000,340.848
-775800,421.44,211.37,290.95,-559,-559000,340.846
-775700,421.53,211.47,290.94,-558,-558000,340.844
-775600,421.63,211.57,290.92,-557,-557000,340.842
-775500,421.73,211.67,290.9,-556,-556000,340.841
-775400,421.83,211.77,290.88,-555,-555000,340.839
-775300,421.92,211.87,290.86,-554,-554000,340.837
-775200,422.02,211.97,290.85,-553,-553000,340.835
-775100,422.12,212.07,290.83,-552,-552000,340.833
-775000,422.21,212.17,290.81,-551,-551000,340.832
-774900,422.31,212.26,290.79,-550,-550000,340.83
-774800,422.58,212.39,290.77,-549,-549000,340.828
-774700,422.84,212.51,290.76,-548,-548000,340.827
-774600,423.11,212.63,290.74,-547,-547000,340.825
-774500,423.38,212.76,290.73,-546,-546000,340.824
-774400,423.64,212.88,290.71,-545,-545000,340.822
-774300,423.91,213,290.69,-544,-544000,340.821
-774200,424.17,213.13,290.68,-543,-543000,340.82
-774100,424.44,213.25,290.66,-542,-542000,340.818
-774000,424.71,213.37,290.65,-541,-541000,340.817
-773900,424.97,213.5,290.63,-540,-540000,340.815
-773800,425.34,213.63,290.61,-539,-539000,340.813
-773700,425.7,213.77,290.6,-538,-538000,340.81
-773600,426.06,213.9,290.58,-537,-537000,340.808
-773500,426.43,214.04,290.57,-536,-536000,340.805
-773400,426.79,214.17,290.55,-535,-535000,340.803
-773300,427.15,214.31,290.53,-534,-534000,340.8
-773200,427.52,214.44,290.52,-533,-533000,340.798
-773100,427.88,214.58,290.5,-532,-532000,340.796
-773000,428.24,214.71,290.49,-531,-531000,340.793
-772900,428.61,214.85,290.47,-530,-530000,340.791
-772800,429.07,214.97,290.45,-529,-529000,340.788
-772700,429.53,215.09,290.44,-528,-528000,340.785
-772600,429.99,215.22,290.42,-527,-527000,340.783
-772500,430.45,215.34,290.41,-526,-526000,340.78
-772400,430.91,215.46,290.39,-525,-525000,340.777
-772300,431.37,215.59,290.38,-524,-524000,340.774
-772200,431.83,215.71,290.36,-523,-523000,340.772
-772100,432.29,215.83,290.35,-522,-522000,340.769
-772000,432.75,215.96,290.33,-521,-521000,340.766
-771900,433.21,216.08,290.31,-520,-520000,340.764
-771800,433.67,216.17,290.3,-519,-519000,340.763
-771700,434.13,216.27,290.29,-518,-518000,340.763
-771600,434.59,216.36,290.28,-517,-517000,340.762
-771500,435.05,216.46,290.27,-516,-516000,340.762
-771400,435.51,216.55,290.26,-515,-515000,340.761
-771300,435.97,216.65,290.24,-514,-514000,340.761
-771200,436.43,216.74,290.23,-513,-513000,340.761
-771100,436.89,216.84,290.22,-512,-512000,340.76
-771000,437.35,216.93,290.21,-511,-511000,340.76
-770900,437.81,217.03,290.2,-510,-510000,340.759
-770800,438.22,217.1,290.19,-509,-509000,340.755
-770700,438.63,217.16,290.17,-508,-508000,340.751
-770600,439.04,217.23,290.16,-507,-507000,340.747
-770500,439.45,217.3,290.15,-506,-506000,340.743
-770400,439.87,217.37,290.14,-505,-505000,340.739
-770300,440.28,217.44,290.12,-504,-504000,340.735
-770200,440.69,217.51,290.11,-503,-503000,340.731
-770100,441.1,217.58,290.1,-502,-502000,340.727
-770000,441.51,217.64,290.09,-501,-501000,340.723
-769900,441.92,217.71,290.07,-500,-500000,340.719
-769800,442.24,217.74,290.06,-499,-499000,340.716
-769700,442.55,217.76,290.05,-498,-498000,340.712
-769600,442.87,217.79,290.04,-497,-497000,340.709
-769500,443.18,217.81,290.03,-496,-496000,340.705
-769400,443.5,217.83,290.02,-495,-495000,340.701
-769300,443.81,217.86,290.01,-494,-494000,340.698
-769200,444.13,217.88,290,-493,-493000,340.694
-769100,444.44,217.91,289.99,-492,-492000,340.691
-769000,444.76,217.93,289.98,-491,-491000,340.687
-768900,445.07,217.96,289.96,-490,-490000,340.684
-768800,445.27,217.94,289.96,-489,-489000,340.681
-768700,445.46,217.92,289.95,-488,-488000,340.679
-768600,445.65,217.9,289.94,-487,-487000,340.677
-768500,445.85,217.88,289.94,-486,-486000,340.675
-768400,446.04,217.86,289.93,-485,-485000,340.673
-768300,446.23,217.85,289.92,-484,-484000,340.67
-768200,446.43,217.83,289.91,-483,-483000,340.668
-768100,446.62,217.81,289.91,-482,-482000,340.666
-768000,446.82,217.79,289.9,-481,-481000,340.664
-767900,447.01,217.77,289.89,-480,-480000,340.662
