Name,Age_Ma,Diameter_km,Location,Reference,yearsElapsed
Strangways,646,25,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3950000000
Janisjarvi,700,14,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3900000000
Iso-Naakkima,1000,3,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3600000000
Lumparn,1000,9,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3600000000
Suvasvesi N,1000,4,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3600000000
Santa Fe,1200,6,"New Mexico , U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3400000000
Goyder,1400,3,Northern Territory,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3200000000
Matt Wilson,1402,7.5,Northern Territory,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3200000000
Shoemaker (formerly Teague),1630,30,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2970000000
Amelia Creek,1640,20,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2960000000
Dhala,1700,11,India,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2900000000
Keurusselka,1800,30,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2800000000
Paasselka,1800,10,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2800000000
Sudbury,1850,130,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2750000000
Yarrabubba,2000,30,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2600000000
Vredefort,2023,160,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2580000000
Suavjarvi,2400,16,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2200000000
