Age_Ma,pCO2_probability_maximum,lw95_percent,lw68_percent,up68_percent,up95_percent
197,1768.36,1110.68,1423.93,2316.5,2727.55
197.5,1770.42,1129.13,1444.34,2296.31,2672.27
198,1767.68,1158.82,1458.8,2256.78,2582.55
198.5,1768.01,1190.27,1456.86,2192.18,2499.02
199,1725.17,1161.61,1443.47,2152.46,2442.67
199.5,1731.48,1150.13,1413.08,2117.68,2430.05
200,1732.56,1151.22,1389.11,2085.77,2401.15
200.5,1730.6,1139.72,1375.09,2063.19,2393.52
201,1723.92,1148.13,1370.54,2028.4,2356.15
201.5,1732.22,1137.75,1363.05,1993.03,2291.21
202,1689.51,1146.14,1343.47,1948.82,2240.98
202.5,1550.94,1120.93,1327.44,1914.06,2220.93
203,1521.18,1096.07,1297.18,1895.57,2172.94
203.5,1602.61,1076.42,1276.17,1862.66,2140.69
204,1583.01,1063.52,1255.44,1832.03,2088.8
204.5,1545.19,1023.82,1236.3,1790.21,2053.81
205,1492.68,988.24,1209.18,1760.92,1993.55
205.5,1461.27,953.66,1183.84,1725.13,1952.53
206,1543.67,919.86,1154.67,1692.57,1921.07
206.5,1540.96,901.12,1124.49,1673.12,1898.23
207,1505.03,878.94,1096.45,1649.47,1878.99
207.5,1437.95,871.7,1076.58,1618.32,1854.54
208,1368.3,849.24,1050.23,1593.22,1834.18
208.5,1348.82,832.23,1031.49,1565.29,1818.11
209,1277.87,797.27,999.01,1543.66,1820.72
209.5,1240.43,784.18,979.73,1531.17,1802.67
210,1206.6,785.5,969.54,1522.98,1792.16
210.5,1197.14,783.03,960.62,1504.6,1765.11
211,1178.39,789.11,964.25,1500.91,1725.55
211.5,1170.68,778.83,970.66,1492.65,1722
212,1172.91,776.07,961.15,1494.12,1722.13
212.5,1223.65,782.28,951.7,1504.1,1729.93
213,1231.62,774.67,948.45,1519.33,1745.07
213.5,1210.86,780.26,960.29,1545.78,1767.07
214,1207.79,819.62,981.77,1559.19,1763.33
214.5,1324.31,835.96,1015.65,1580.21,1786.7
215,1339.32,846.1,1035.4,1616.22,1821.2
215.5,1361.99,851.61,1054.43,1654.02,1899.8
216,1381.16,860.07,1077.21,1695.16,1967.08
216.5,1406.39,862.94,1101.46,1732.44,2019.79
217,1439.63,878.8,1131.41,1758.11,2083.94
217.5,1450.96,926,1161.61,1787.77,2115.52
218,1501.04,964.38,1190.15,1843.29,2199.67
218.5,1531.76,989.7,1229.06,1897.75,2244.38
219,1552.4,1011.02,1237.77,1959.1,2272.16
219.5,1589.3,1016.16,1243.97,2023.41,2375.01
220,1599.29,1032.56,1278.66,2081.03,2446.3
220.5,1614.51,1026.21,1315.3,2120.76,2498.11
221,1660.23,1038.65,1345.94,2174.2,2540.79
221.5,1702.54,1085.65,1397.46,2225.46,2617.76
222,1776.13,1113,1430.04,2288.12,2691.29
222.5,1818.97,1140.78,1458.82,2336.76,2771.85
223,1854.49,1137.36,1480.5,2394.83,2834.97
223.5,1911.95,1152.19,1498.52,2428.05,2863.23
224,1955.25,1186.25,1525.36,2436.79,2850.08
224.5,2047.59,1192.73,1532.48,2475.28,2869.41
225,2131.92,1226.87,1552.95,2507.31,2909.25
225.5,2111.68,1203.71,1552.64,2541.55,2955.17
226,2073.2,1198.27,1542.54,2561.44,2995.16
226.5,2062.8,1187.17,1538.66,2575.35,3028.95
227,2059.04,1185.58,1537.01,2572.9,3016.58
227.5,2051.57,1173.59,1521.6,2515.33,2992.94
228,2082.91,1165.92,1500.78,2467.63,2976.67
228.5,2023.94,1159.33,1459.57,2414.34,2919.56
229,1989.51,1127.32,1414.98,2383.15,2839.76
229.5,1975.23,1075.88,1372.49,2340.36,2823.87
230,1938.98,1042.73,1347.88,2296.47,2774.52
230.5,1892.22,1048.8,1331.39,2225.72,2721.56
231,1767.46,1026.96,1326.16,2181.75,2668.5
231.5,1662.83,984.42,1312.98,2151.27,2623.15
232,1613.52,950.1,1266.73,2101.69,2592.51
232.5,1624.32,889.7,1206.34,2080.55,2588.6
233,1518.27,836.56,1138.78,2076.78,2589.37
233.5,1495.34,770.8,1081.68,2038.15,2572.95
234,1478.47,702.03,1028.22,2013.87,2580.5
234.5,1447.15,663.76,972.63,1984.09,2625.94
235,1398.8,590.93,894.51,2005.38,2678.79
235.5,1352.41,540.8,819.25,1999.55,2709.71
236,1300.84,464.01,772.88,1991.46,2743.92
236.5,1248.87,388.83,720.18,1963.35,2721.26
237,1210.03,339.54,661.96,1935.07,2650.36
237.5,1205.65,297.95,615.23,1868.19,2582.57
238,1204.76,277.29,558.51,1779.31,2514.92
238.5,1167.29,238.13,518.13,1746.18,2463.38
239,1110.06,204.06,469.19,1695.7,2446.86
239.5,1033.59,175.94,422.4,1619.18,2349.34
240,532.66,143.29,390.74,1517.23,2229.6
240.5,528.96,130.29,356.97,1411.06,2068.5
241,532.54,128.13,331.63,1299.24,1903.28
241.5,519.87,127.69,306.09,1193.07,1774.74
242,491.72,101.22,288.69,1096.64,1644.34
242.5,424.2,69.49,267.76,1005.54,1494.31
243,388.88,61.58,250.54,936.49,1441.68
243.5,400.12,76.16,249.15,887.76,1350.76
244,424.25,85.55,243.88,847.19,1277.57
244.5,417.99,91.79,246.47,787.36,1187.84
245,420.96,68.52,245.41,773.11,1152.25
245.5,414.97,38.51,233.07,789.56,1146.75
246,429.51,9.85,227,812.61,1136.35
246.5,451.45,1.08,224.2,856.87,1144.05
247,490.73,-17.84,231.32,900.57,1193
247.5,550.55,-4.25,259.3,956.17,1295.43
248,615.49,-21.24,286.46,1033.81,1409.61
