yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
753700,216.91,291.1,340.446,,
753600,216.99,291.11,340.446,,
753500,217.08,291.13,340.446,,
753400,217.16,291.15,340.446,,
753300,217.24,291.17,340.446,,
753200,217.32,291.19,340.447,,
753100,217.41,291.2,340.447,,
753000,217.49,291.22,340.447,,
752900,217.57,291.24,340.447,,
752800,217.63,291.26,340.447,,
752700,217.69,291.28,340.447,,
752600,217.75,291.3,340.447,,
752500,217.81,291.31,340.447,,
752400,217.87,291.33,340.446,,
752300,217.94,291.35,340.446,,
752200,218,291.37,340.446,,
752100,218.06,291.39,340.446,,
752000,218.12,291.41,340.446,,
751900,218.18,291.42,340.446,,
751800,218.21,291.44,340.445,,
751700,218.23,291.46,340.445,,
751600,218.26,291.47,340.444,,
751500,218.29,291.49,340.443,,
751400,218.32,291.51,340.443,,
751300,218.35,291.53,340.442,,
751200,218.37,291.54,340.441,,
751100,218.4,291.56,340.441,,
751000,218.43,291.58,340.44,,
750900,218.46,291.59,340.439,,
750800,218.45,291.61,340.436,,
750700,218.44,291.62,340.433,,
750600,218.43,291.63,340.43,,
750500,218.42,291.64,340.426,,
750400,218.41,291.66,340.423,,
750300,218.4,291.67,340.42,,
750200,218.39,291.68,340.416,,
750100,218.38,291.7,340.413,,
750000,218.37,291.71,340.41,,
749900,218.36,291.72,340.406,,
749800,218.34,291.74,340.411,,
749700,218.33,291.76,340.415,,
749600,218.31,291.78,340.42,,
749500,218.29,291.79,340.424,,
749400,218.28,291.81,340.429,,
749300,218.26,291.83,340.433,,
749200,218.25,291.85,340.438,,
749100,218.23,291.87,340.442,,
749000,218.21,291.89,340.447,,
748900,218.2,291.91,340.451,,
748800,218.16,291.92,340.451,,
748700,218.11,291.93,340.451,,
748600,218.07,291.94,340.451,,
748500,218.03,291.96,340.452,,
748400,217.99,291.97,340.452,,
748300,217.94,291.98,340.452,,
748200,217.9,291.99,340.452,,
748100,217.86,292.01,340.452,,
748000,217.82,292.02,340.452,,
747900,217.77,292.03,340.452,,
747800,217.73,292.04,340.455,,
747700,217.69,292.06,340.459,,
747600,217.65,292.07,340.463,,
747500,217.6,292.09,340.467,,
747400,217.56,292.1,340.47,,
747300,217.52,292.11,340.474,,
747200,217.48,292.13,340.478,,
747100,217.43,292.14,340.482,,
747000,217.39,292.16,340.485,,
746900,217.35,292.17,340.489,,
746800,217.3,292.18,340.489,,
746700,217.25,292.19,340.488,,
746600,217.2,292.19,340.487,,
746500,217.16,292.2,340.487,,
746400,217.11,292.21,340.486,,
746300,217.06,292.22,340.485,,
746200,217.01,292.22,340.485,,
